,bill_id,cosponsor_flg,amendments_flg,popular_flg,related_bills_flg,party_flg,majority_flg,Class
7792,s2395-110,1,0,0,1,1,1,0
7793,s2415-110,0,0,0,1,1,1,0
7794,s2426-110,1,0,0,0,1,1,0
7795,s2456-110,1,0,0,0,1,1,0
7796,s2476-110,0,0,0,0,1,1,0
7797,s2480-110,1,0,0,0,1,1,0
7798,s2514-110,0,0,0,0,1,1,0
7799,s2515-110,0,0,0,1,1,1,0
7800,s2524-110,0,0,0,1,1,1,0
7801,s2535-110,0,0,0,1,1,1,1
7802,s2549-110,1,0,0,1,1,1,1
7803,s2574-110,0,0,0,1,1,1,0
7804,s2584-110,0,0,0,1,1,1,0
7805,s2659-110,0,0,0,0,1,1,0
7806,s2682-110,1,0,0,0,1,1,0
7807,s2801-110,0,0,0,1,1,1,0
7808,s2854-110,1,0,0,1,1,1,0
7809,s2862-110,1,0,0,1,1,1,0
7810,s2866-110,0,0,0,0,1,1,0
7811,s2877-110,0,0,0,1,1,1,0
7812,s2916-110,1,0,0,1,1,1,0
7813,s2921-110,1,0,0,0,1,1,0
7814,s2944-110,0,0,0,0,1,1,0
7815,s2971-110,1,0,0,1,1,1,0
7816,s2992-110,1,0,0,0,1,1,0
7817,s301-110,1,0,0,0,1,1,0
7818,s3027-110,0,0,0,0,1,1,0
7819,s3028-110,0,0,0,0,1,1,0
7820,s3139-110,0,0,0,0,1,1,0
7821,s3145-110,1,0,0,1,1,1,1
7822,s3307-110,1,0,0,1,1,1,0
7823,s3317-110,1,0,0,1,1,1,1
7824,s3334-110,1,0,0,1,1,1,0
7825,s3380-110,1,0,0,1,1,1,0
7826,s3419-110,1,0,0,1,1,1,0
7827,s3444-110,0,0,0,1,1,1,0
7828,s3470-110,1,0,0,0,1,1,0
7829,s3489-110,1,0,0,0,1,1,1
7830,s3497-110,0,0,0,1,1,1,0
7831,s3502-110,0,0,0,0,1,1,0
7832,s3511-110,1,0,0,1,1,1,0
7833,s3513-110,1,0,0,1,1,1,0
